iter	MultiClass
0	1.47444231
1	1.360707148
2	1.265698692
3	1.185327359
4	1.114635411
5	1.050807898
6	0.9966752731
7	0.9464221614
8	0.9017083828
9	0.8604671906
10	0.8222889824
11	0.7878129293
12	0.7570847312
13	0.7277301587
14	0.7017704211
15	0.6777278083
16	0.6542427003
17	0.6323986016
18	0.6115920172
19	0.5930758918
20	0.575358131
21	0.5591273455
22	0.5432214995
23	0.5287114944
24	0.5152490263
25	0.5028737346
26	0.4908088451
27	0.4789180323
28	0.4680187659
29	0.4577929586
30	0.4485988208
31	0.4394114316
32	0.4300296692
33	0.4210731781
34	0.4130608526
35	0.4058632898
36	0.3989056741
37	0.3916492465
38	0.3847408576
39	0.3789701255
40	0.3729224724
41	0.3673662116
42	0.3624523598
43	0.3574350331
44	0.3529767331
45	0.3482430682
46	0.3439360668
47	0.3396213721
48	0.3354821576
49	0.3318261002
50	0.3280257909
51	0.3243700677
52	0.320750284
53	0.3176969058
54	0.3151092202
55	0.3122088001
56	0.3097248997
57	0.3074598809
58	0.304827928
59	0.3024236314
60	0.2998945455
61	0.2973803684
62	0.2951255484
63	0.2931918062
64	0.2912111819
65	0.2888824504
66	0.2869107244
67	0.2851816026
68	0.2835447925
69	0.2816240469
70	0.280067863
71	0.2785951371
72	0.2770687497
73	0.2756126802
74	0.2738999803
75	0.2723224898
76	0.2707452603
77	0.269614779
78	0.268177004
79	0.2672545649
80	0.26619075
81	0.2648063215
82	0.2637950252
83	0.2626582162
84	0.2616503433
85	0.2605832438
86	0.2595960185
87	0.2583632738
88	0.257169624
89	0.256465244
90	0.255673337
91	0.2548214761
92	0.2539799037
93	0.2531803025
94	0.2530210723
95	0.2521695524
96	0.2513664166
97	0.2505032562
98	0.2500047581
99	0.2494052397
100	0.2485630705
101	0.2480951795
102	0.2474144701
103	0.2467219826
104	0.2460725571
105	0.2454221499
106	0.2453386161
107	0.2448784426
108	0.2442318295
109	0.2437059141
110	0.2429792419
111	0.242353882
112	0.2419256757
113	0.2413785055
114	0.2407762503
115	0.2402242131
116	0.2397817537
117	0.2391372738
118	0.2386523112
119	0.2380902557
120	0.2374551196
121	0.2368837431
122	0.2364454738
123	0.2359867465
124	0.2355465024
125	0.235140527
126	0.2348180307
127	0.2341995327
128	0.2337150674
129	0.2332512346
130	0.2330865737
131	0.232699751
132	0.2323174463
133	0.2321707047
134	0.2320020885
135	0.2316204514
136	0.2313691244
137	0.2308735337
138	0.2305352011
139	0.230034248
140	0.2296905503
141	0.2293001186
142	0.2288998464
143	0.2285509564
144	0.2281297713
145	0.2279325048
146	0.2277310487
147	0.2272766208
148	0.2269350944
149	0.226520983
150	0.2261979527
151	0.2258322801
152	0.2253893653
153	0.2251551857
154	0.2247926507
155	0.2245808354
156	0.2244413038
157	0.2241007161
158	0.2238478256
159	0.2236374582
160	0.2235892441
161	0.2234073961
162	0.2230315682
163	0.2227698779
164	0.2223953902
165	0.2220537552
166	0.2220100775
167	0.2218392147
168	0.221438053
169	0.2211784596
170	0.2207426772
171	0.2203252899
172	0.2200479892
173	0.2196680763
174	0.2194400102
175	0.2191574261
176	0.2187880974
177	0.2185266917
178	0.2182745274
179	0.2177017719
180	0.2175262065
181	0.2171614884
182	0.2168143397
183	0.2164130242
184	0.216124499
185	0.2158712796
186	0.2155266597
187	0.2152290253
188	0.2147949737
189	0.2145630116
190	0.2142350029
191	0.2138657469
192	0.2136267274
193	0.2134831214
194	0.2132024911
195	0.212931342
196	0.2128232188
197	0.2124092631
198	0.2120283528
199	0.2118351974
200	0.2115330627
201	0.2113047539
202	0.2110974745
203	0.2109008769
204	0.2106279645
205	0.2104492424
206	0.2101739375
207	0.2098281255
208	0.2095216561
209	0.2093335236
210	0.2091760447
211	0.2088548073
212	0.2086334221
213	0.2083401207
214	0.2081107816
215	0.2077282664
216	0.2074459002
217	0.2070090291
218	0.2069112106
219	0.2066100683
220	0.2063918388
221	0.206180133
222	0.2058117073
223	0.2055847223
224	0.2053748449
225	0.2051981507
226	0.2049650285
227	0.2046793988
228	0.2044459147
229	0.2042344172
230	0.2039396297
231	0.2035913689
232	0.203241292
233	0.202940601
234	0.2027212578
235	0.2025162764
236	0.2023045754
237	0.2021418118
238	0.2019032663
239	0.2016878108
240	0.2015043015
241	0.2012887644
242	0.2010972563
243	0.2009690733
244	0.2008012201
245	0.2006639981
246	0.2004996606
247	0.20027613
248	0.2001078945
249	0.1999000708
250	0.1996384328
251	0.1994129721
252	0.199194199
253	0.1990423501
254	0.1989045838
255	0.1987623241
256	0.1986764511
257	0.1984761557
258	0.198272123
259	0.1980296522
260	0.1978469346
261	0.1976141907
262	0.197360632
263	0.1972209433
264	0.19697099
265	0.1968184344
266	0.1966208357
267	0.196356917
268	0.1962445938
269	0.1960463229
270	0.1959218061
271	0.1956651053
272	0.1955094667
273	0.1952978135
274	0.1951049065
275	0.1949712596
276	0.1948196531
277	0.1945365362
278	0.1944293642
279	0.1943391329
280	0.1941855132
281	0.1940533882
282	0.1939001596
283	0.1937206199
284	0.1934189463
285	0.1933257965
