iter	Passed	Remaining
0	22	22109
1	41	20895
2	61	20520
3	81	20344
4	101	20245
5	124	20627
6	145	20697
7	167	20720
8	187	20690
9	208	20675
10	229	20652
11	249	20571
12	261	19868
13	282	19928
14	303	19950
15	324	19978
16	345	19972
17	366	20014
18	387	20002
19	408	20008
20	429	20021
21	451	20058
22	472	20056
23	492	20042
24	513	20028
25	536	20085
26	556	20067
27	577	20064
28	599	20076
29	620	20073
30	643	20119
31	665	20122
32	686	20104
33	706	20060
34	729	20121
35	745	19957
36	766	19961
37	787	19945
38	808	19915
39	833	20005
40	853	19968
41	874	19946
42	895	19923
43	916	19909
44	937	19895
45	958	19888
46	979	19867
47	1000	19845
48	1023	19861
49	1044	19842
50	1065	19828
51	1086	19803
52	1107	19794
53	1128	19771
54	1150	19763
55	1171	19740
56	1183	19572
57	1190	19340
58	1211	19316
59	1231	19298
60	1252	19279
61	1272	19254
62	1293	19234
63	1315	19241
64	1339	19261
65	1360	19259
66	1381	19241
67	1402	19222
68	1423	19211
69	1445	19199
70	1465	19176
71	1486	19161
72	1507	19148
73	1529	19138
74	1550	19127
75	1571	19106
76	1593	19100
77	1615	19100
78	1639	19114
79	1660	19090
80	1680	19070
81	1701	19051
82	1723	19038
83	1744	19022
84	1765	19006
85	1785	18977
86	1806	18955
87	1832	18996
88	1855	18991
89	1876	18974
90	1897	18951
91	1918	18936
92	1940	18920
93	1944	18745
94	1965	18728
95	1986	18710
96	2007	18692
97	2028	18675
98	2033	18502
99	2053	18483
100	2074	18464
101	2094	18443
102	2116	18428
103	2138	18421
104	2159	18409
105	2181	18395
106	2202	18381
107	2223	18368
108	2244	18349
109	2266	18338
110	2289	18333
111	2302	18258
112	2324	18246
113	2345	18226
114	2365	18207
115	2387	18198
116	2409	18181
117	2429	18160
118	2451	18147
119	2472	18130
120	2493	18112
121	2514	18096
122	2536	18085
123	2557	18066
124	2579	18055
125	2602	18053
126	2624	18038
127	2647	18035
128	2651	17903
129	2672	17887
130	2677	17763
131	2698	17745
132	2720	17732
133	2740	17713
134	2761	17695
135	2768	17586
136	2789	17572
137	2810	17554
138	2832	17544
139	2854	17533
140	2874	17512
141	2886	17441
142	2907	17427
143	2929	17414
144	2950	17399
145	2972	17387
146	2994	17377
147	3015	17359
148	3036	17341
149	3057	17324
150	3078	17311
151	3100	17299
152	3122	17284
153	3143	17266
154	3164	17252
155	3169	17146
156	3191	17139
157	3214	17127
158	3235	17115
159	3257	17100
160	3278	17087
161	3300	17071
162	3321	17057
163	3343	17044
164	3364	17028
165	3385	17010
166	3406	16993
167	3428	16980
168	3449	16963
169	3470	16946
170	3491	16928
171	3513	16914
172	3534	16895
173	3555	16879
174	3576	16860
175	3580	16763
176	3602	16751
177	3624	16737
178	3627	16637
179	3651	16636
180	3674	16624
181	3695	16611
182	3716	16591
183	3738	16578
184	3760	16568
185	3782	16551
186	3785	16457
187	3806	16438
188	3826	16421
189	3849	16409
190	3870	16392
191	3890	16373
192	3912	16359
193	3934	16346
194	3955	16328
195	3976	16311
196	3997	16292
197	4017	16272
198	4037	16252
199	4059	16237
200	4081	16223
201	4102	16206
202	4124	16191
203	4146	16180
204	4168	16167
205	4190	16152
206	4213	16141
207	4235	16128
208	4257	16111
209	4278	16095
210	4300	16079
211	4322	16066
212	4343	16050
213	4364	16031
214	4386	16016
215	4407	15999
216	4428	15980
217	4450	15964
218	4472	15949
219	4495	15937
220	4517	15924
221	4539	15908
222	4560	15891
223	4581	15869
224	4602	15852
225	4623	15833
226	4647	15826
227	4669	15810
228	4692	15797
229	4714	15782
230	4735	15764
231	4757	15747
232	4778	15728
233	4799	15711
234	4821	15695
235	4847	15694
236	4869	15677
237	4891	15662
238	4913	15645
239	4934	15626
240	4956	15609
241	4977	15590
242	4997	15569
243	5019	15553
244	5041	15535
245	5061	15514
246	5083	15496
247	5104	15476
248	5126	15463
249	5148	15446
250	5169	15424
251	5189	15404
252	5210	15384
253	5231	15365
254	5252	15345
255	5273	15327
256	5295	15310
257	5316	15290
258	5337	15270
259	5358	15249
260	5378	15230
261	5399	15209
262	5420	15190
263	5441	15169
264	5461	15149
265	5482	15129
266	5504	15111
267	5526	15095
268	5547	15076
269	5569	15057
270	5590	15038
271	5611	15019
272	5632	15000
273	5657	14989
274	5677	14969
275	5701	14955
276	5723	14937
277	5744	14918
278	5766	14901
279	5787	14880
280	5807	14860
281	5829	14842
282	5850	14823
283	5870	14801
284	5891	14779
285	5912	14760
286	5933	14740
287	5955	14722
288	5975	14700
289	5995	14678
290	6017	14662
291	6039	14642
292	6060	14623
293	6081	14604
294	6102	14583
295	6123	14565
296	6146	14549
297	6166	14527
298	6187	14506
299	6208	14487
300	6230	14469
301	6251	14449
302	6274	14433
303	6297	14416
304	6318	14398
305	6340	14379
306	6361	14360
307	6382	14338
308	6403	14318
309	6423	14298
310	6445	14279
311	6466	14258
312	6486	14237
313	6508	14219
314	6530	14201
315	6552	14182
316	6574	14166
317	6595	14145
318	6616	14124
319	6638	14106
320	6663	14094
321	6687	14080
322	6711	14066
323	6736	14056
324	6759	14038
325	6794	14048
326	6816	14028
327	6836	14007
328	6858	13987
329	6880	13968
330	6907	13960
331	6913	13910
332	6936	13892
333	6957	13872
334	6978	13852
335	6998	13831
336	7020	13811
337	7041	13790
338	7062	13770
339	7083	13749
340	7104	13730
341	7126	13711
342	7148	13692
343	7168	13671
344	7189	13649
345	7210	13628
346	7231	13609
347	7254	13591
348	7275	13570
349	7296	13550
350	7318	13531
351	7339	13511
352	7361	13492
353	7383	13474
354	7405	13455
355	7426	13435
356	7447	13414
357	7470	13396
358	7494	13381
359	7515	13361
360	7538	13343
361	7559	13323
362	7580	13303
363	7601	13282
364	7623	13263
365	7647	13247
366	7668	13227
367	7690	13207
368	7712	13188
369	7733	13167
370	7754	13147
371	7775	13126
372	7796	13105
373	7817	13085
374	7839	13065
375	7866	13055
376	7889	13036
377	7910	13016
378	7931	12995
379	7952	12974
380	7974	12956
381	7996	12936
382	8018	12917
383	8040	12898
384	8061	12877
385	8082	12856
386	8104	12837
387	8126	12817
388	8148	12798
389	8171	12780
390	8192	12760
391	8213	12739
392	8235	12720
393	8256	12699
394	8277	12678
395	8298	12657
396	8321	12638
397	8342	12619
398	8364	12599
399	8387	12580
400	8409	12562
401	8430	12541
402	8451	12520
403	8473	12499
404	8493	12478
405	8513	12456
406	8534	12435
407	8555	12413
408	8577	12394
409	8598	12374
410	8620	12354
411	8642	12334
412	8663	12314
413	8686	12295
414	8708	12275
415	8730	12255
416	8752	12236
417	8773	12215
418	8794	12194
419	8816	12174
420	8838	12155
421	8860	12135
422	8881	12114
423	8903	12094
424	8924	12073
425	8945	12052
426	8966	12032
427	8989	12013
428	9010	11993
429	9032	11972
430	9054	11953
431	9075	11931
432	9097	11913
433	9118	11892
434	9139	11870
435	9160	11850
436	9181	11829
437	9202	11807
438	9223	11786
439	9243	11764
440	9265	11744
441	9286	11724
442	9307	11702
443	9328	11681
444	9350	11661
445	9371	11641
446	9392	11620
447	9415	11600
448	9437	11580
449	9457	11559
450	9478	11538
451	9499	11516
452	9519	11495
453	9540	11474
454	9559	11450
455	9581	11430
456	9602	11409
457	9623	11388
458	9644	11367
459	9667	11348
460	9688	11327
461	9709	11307
462	9731	11286
463	9752	11266
464	9773	11245
465	9794	11224
466	9816	11203
467	9837	11183
468	9860	11163
469	9881	11142
470	9902	11122
471	9923	11101
472	9944	11080
473	9965	11058
474	9986	11037
475	10007	11016
476	10028	10995
477	10049	10974
478	10070	10953
479	10092	10933
480	10113	10912
481	10134	10891
482	10158	10874
483	10180	10853
484	10201	10832
485	10241	10831
486	10270	10818
487	10293	10799
488	10314	10778
489	10336	10758
490	10358	10738
491	10379	10716
492	10401	10697
493	10422	10675
494	10443	10654
495	10464	10633
496	10486	10613
497	10507	10592
498	10529	10571
499	10550	10550
500	10571	10529
501	10592	10507
502	10613	10486
503	10634	10465
504	10654	10443
505	10674	10421
506	10697	10401
507	10718	10380
508	10741	10361
509	10763	10340
510	10784	10320
511	10805	10299
512	10825	10277
513	10847	10256
514	10868	10235
515	10894	10218
516	10915	10197
517	10937	10177
518	10959	10157
519	10981	10136
520	11001	10115
521	11023	10093
522	11044	10073
523	11065	10051
524	11087	10031
525	11108	10010
526	11131	9990
527	11152	9969
528	11173	9948
529	11194	9926
530	11215	9905
531	11236	9884
532	11256	9862
533	11277	9841
534	11299	9820
535	11319	9799
536	11341	9778
537	11363	9758
538	11385	9737
539	11405	9716
540	11429	9696
541	11451	9676
542	11473	9656
543	11495	9635
544	11516	9614
545	11537	9593
546	11558	9571
547	11581	9552
548	11604	9532
549	11624	9511
550	11645	9490
551	11693	9490
552	11714	9469
553	11736	9448
554	11757	9427
555	11778	9406
556	11800	9385
557	11821	9363
558	11841	9342
559	11862	9320
560	11883	9299
561	11904	9277
562	11925	9256
563	11946	9234
564	11967	9214
565	11989	9193
566	12009	9171
567	12030	9150
568	12052	9129
569	12073	9108
570	12094	9087
571	12117	9066
572	12137	9045
573	12159	9024
574	12181	9003
575	12202	8982
576	12224	8962
577	12246	8940
578	12267	8919
579	12288	8898
580	12310	8877
581	12331	8856
582	12352	8835
583	12374	8814
584	12394	8792
585	12415	8771
586	12436	8750
587	12457	8728
588	12478	8707
589	12499	8686
590	12519	8664
591	12540	8642
592	12560	8621
593	12582	8600
594	12603	8579
595	12624	8557
596	12645	8536
597	12671	8518
598	12694	8498
599	12715	8477
600	12738	8457
601	12760	8436
602	12780	8414
603	12802	8393
604	12823	8372
605	12843	8350
606	12864	8329
607	12885	8307
608	12905	8286
609	12926	8264
610	12947	8243
611	12968	8221
612	12989	8200
613	13011	8179
614	13031	8158
615	13053	8137
616	13075	8116
617	13098	8096
618	13122	8076
619	13144	8056
620	13165	8035
621	13187	8014
622	13209	7993
623	13231	7972
624	13252	7951
625	13273	7930
626	13293	7908
627	13314	7886
628	13335	7865
629	13356	7844
630	13376	7822
631	13397	7800
632	13418	7779
633	13438	7757
634	13458	7736
635	13480	7714
636	13502	7694
637	13523	7673
638	13546	7653
639	13569	7632
640	13593	7613
641	13617	7593
642	13639	7572
643	13663	7553
644	13685	7532
645	13707	7511
646	13729	7490
647	13752	7470
648	13773	7449
649	13793	7427
650	13814	7405
651	13835	7384
652	13857	7363
653	13880	7343
654	13905	7324
655	13928	7304
656	13951	7283
657	13975	7264
658	13998	7243
659	14020	7222
660	14043	7202
661	14065	7181
662	14087	7160
663	14109	7139
664	14132	7119
665	14155	7098
666	14177	7078
667	14201	7058
668	14223	7037
669	14246	7017
670	14269	6996
671	14294	6977
672	14316	6955
673	14338	6935
674	14361	6914
675	14384	6894
676	14411	6875
677	14469	6871
678	14515	6862
679	14566	6854
680	14618	6847
681	14663	6837
682	14708	6826
683	14749	6814
684	14796	6804
685	14842	6793
686	14886	6782
687	14934	6772
688	14983	6763
689	15039	6756
690	15074	6740
691	15096	6719
692	15117	6696
693	15139	6675
694	15160	6653
695	15183	6631
696	15205	6610
697	15230	6589
698	15252	6568
699	15281	6549
700	15307	6529
701	15329	6507
702	15350	6485
703	15374	6464
704	15397	6442
705	15421	6421
706	15444	6400
707	15466	6378
708	15489	6357
709	15512	6335
710	15533	6313
711	15556	6292
712	15578	6270
713	15599	6248
714	15621	6226
715	15642	6204
716	15666	6183
717	15688	6161
718	15709	6139
719	15731	6117
720	15751	6095
721	15772	6073
722	15795	6051
723	15817	6029
724	15838	6007
725	15858	5985
726	15880	5963
727	15900	5940
728	15921	5918
729	15942	5896
730	15964	5874
731	15986	5852
732	16007	5830
733	16027	5808
734	16047	5785
735	16068	5763
736	16089	5741
737	16111	5719
738	16132	5697
739	16153	5675
740	16173	5652
741	16194	5630
742	16216	5609
743	16238	5587
744	16259	5565
745	16281	5543
746	16301	5521
747	16322	5499
748	16343	5476
749	16363	5454
750	16385	5432
751	16406	5410
752	16427	5388
753	16448	5366
754	16470	5344
755	16491	5322
756	16513	5300
757	16535	5279
758	16557	5257
759	16578	5235
760	16599	5213
761	16620	5191
762	16642	5169
763	16664	5147
764	16687	5126
765	16708	5104
766	16730	5082
767	16751	5060
768	16772	5038
769	16795	5016
770	16815	4994
771	16837	4972
772	16857	4950
773	16878	4928
774	16899	4906
775	16926	4885
776	16948	4864
777	16968	4842
778	16990	4820
779	17011	4798
780	17033	4776
781	17056	4754
782	17078	4733
783	17098	4710
784	17120	4688
785	17140	4666
786	17161	4644
787	17183	4622
788	17205	4601
789	17226	4579
790	17247	4557
791	17268	4535
792	17289	4513
793	17308	4490
794	17329	4468
795	17351	4446
796	17371	4424
797	17392	4402
798	17412	4380
799	17432	4358
800	17454	4336
801	17474	4314
802	17495	4292
803	17517	4270
804	17540	4248
805	17561	4227
806	17582	4204
807	17602	4182
808	17624	4161
809	17646	4139
810	17671	4118
811	17694	4096
812	17716	4074
813	17737	4053
814	17758	4031
815	17779	4009
816	17799	3986
817	17820	3964
818	17840	3942
819	17860	3920
820	17881	3898
821	17902	3876
822	17922	3854
823	17943	3832
824	17963	3810
825	17984	3788
826	18005	3766
827	18026	3744
828	18046	3722
829	18067	3700
830	18089	3678
831	18110	3657
832	18132	3635
833	18153	3613
834	18175	3591
835	18202	3570
836	18224	3549
837	18245	3527
838	18265	3505
839	18286	3483
840	18307	3461
841	18328	3439
842	18348	3417
843	18369	3395
844	18389	3373
845	18410	3351
846	18431	3329
847	18451	3307
848	18472	3285
849	18493	3263
850	18513	3241
851	18534	3219
852	18555	3197
853	18575	3175
854	18597	3153
855	18618	3132
856	18639	3110
857	18660	3088
858	18684	3066
859	18705	3045
860	18726	3023
861	18746	3001
862	18767	2979
863	18787	2957
864	18808	2935
865	18829	2913
866	18850	2891
867	18870	2869
868	18891	2847
869	18912	2825
870	18932	2803
871	18953	2782
872	18973	2760
873	18994	2738
874	19015	2716
875	19036	2694
876	19056	2672
877	19077	2650
878	19098	2629
879	19120	2607
880	19140	2585
881	19162	2563
882	19182	2541
883	19203	2519
884	19223	2497
885	19244	2476
886	19266	2454
887	19288	2432
888	19304	2410
889	19325	2388
890	19347	2366
891	19368	2345
892	19389	2323
893	19410	2301
894	19431	2279
895	19452	2257
896	19472	2236
897	19493	2214
898	19514	2192
899	19536	2170
900	19557	2148
901	19578	2127
902	19598	2105
903	19619	2083
904	19641	2061
905	19664	2040
906	19687	2018
907	19710	1997
908	19732	1975
909	19753	1953
910	19775	1931
911	19796	1910
912	19816	1888
913	19837	1866
914	19859	1844
915	19879	1823
916	19900	1801
917	19921	1779
918	19946	1758
919	19969	1736
920	19990	1714
921	20011	1692
922	20031	1671
923	20054	1649
924	20075	1627
925	20096	1605
926	20117	1584
927	20138	1562
928	20159	1540
929	20179	1518
930	20201	1497
931	20222	1475
932	20243	1453
933	20263	1431
934	20284	1410
935	20304	1388
936	20325	1366
937	20345	1344
938	20366	1323
939	20386	1301
940	20406	1279
941	20427	1257
942	20449	1236
943	20469	1214
944	20489	1192
945	20511	1170
946	20532	1149
947	20555	1127
948	20578	1105
949	20600	1084
950	20621	1062
951	20642	1040
952	20666	1019
953	20688	997
954	20710	975
955	20732	954
956	20754	932
957	20776	910
958	20798	889
959	20819	867
960	20841	845
961	20862	824
962	20885	802
963	20907	780
964	20927	759
965	20949	737
966	20970	715
967	20992	693
968	21014	672
969	21035	650
970	21057	628
971	21078	607
972	21099	585
973	21120	563
974	21141	542
975	21161	520
976	21183	498
977	21205	477
978	21226	455
979	21248	433
980	21270	411
981	21292	390
982	21314	368
983	21335	346
984	21358	325
985	21379	303
986	21400	281
987	21423	260
988	21445	238
989	21467	216
990	21489	195
991	21510	173
992	21533	151
993	21555	130
994	21578	108
995	21598	86
996	21621	65
997	21643	43
998	21664	21
999	21687	0
